section,arm,eval_index,reason,score,n_scored,n_hypotheses,n_fit_segments,n_heldout_segments,forward_px,n_forward,reverse_px,n_reverse,feet,feet_inside,nn_median_ft
S2,ROUTEA,001127,valid,-,000000,000000,000108,000108,50.615,000398,350.871,006788,000000,000000,-
S2,ROUTEB,001127,valid,-,000000,000000,000188,000188,28.847,000398,390.610,008412,000000,000000,-
S2,G334A,001225,no_valid_h,-1.000,000000,552616,000039,000038,-,000000,-,000000,000002,000000,-
S2,G334B,001225,no_valid_h,0.211,000074,1687112,000100,000100,-,000000,-,000000,000002,000000,-
S2,ROUTEA,001225,valid,-,000000,000000,000039,000038,147.101,000398,413.772,001980,000002,000000,58.815
S2,ROUTEB,001225,valid,-,000000,000000,000100,000100,196.295,000398,392.903,003437,000002,000000,58.815
S2,G334A,001323,implausible_scale,-1.000,000000,155552,000073,000072,-,000000,-,000000,000000,000000,-
S2,G334B,001323,no_valid_h,-1.000,000000,1070772,000124,000124,-,000000,-,000000,000000,000000,-
S2,ROUTEA,001323,valid,-,000000,000000,000073,000072,11.018,000398,107.339,004408,000000,000000,-
S2,ROUTEB,001323,valid,-,000000,000000,000124,000124,15.280,000398,120.411,006178,000000,000000,-
S2,G334A,001421,no_valid_h,-1.000,000000,457272,000070,000069,-,000000,-,000000,000001,000000,-
S2,G334B,001421,no_valid_h,-1.000,000000,1169000,000128,000127,-,000000,-,000000,000001,000000,-
S2,ROUTEA,001421,valid,-,000000,000000,000070,000069,67.805,000398,634.318,005678,000001,000000,-
S2,ROUTEB,001421,valid,-,000000,000000,000128,000127,67.805,000398,495.721,005340,000001,000000,-
S2,G334A,001519,no_valid_h,0.208,000093,379648,000351,000351,-,000000,-,000000,000005,000000,-
S2,G334B,001519,no_valid_h,-1.000,000000,1457328,000746,000746,-,000000,-,000000,000005,000000,-
S2,ROUTEA,001519,valid,-,000000,000000,000351,000351,22.126,000398,380.102,018141,000005,000000,113.079
S2,ROUTEB,001519,valid,-,000000,000000,000746,000746,6.685,000398,361.494,028599,000005,000000,113.079
S2,G334A,001617,valid,0.637,000076,497172,000143,000143,18.819,000076,127.015,008135,000003,000001,4.204
