window_id,frame,state,source,age_frames,confidence,owner_id,abstention_reason,nearest_distance_px,motion_cosine,motion_ratio,prerequisite_available,join_source,ball_shift
eurocup-Y6POC6V1Y5E_s2352,000647,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000648,OBSERVED_VALID,detected,0,,,motion_disagreement,80.00156248474151,0.6262253218884547,2.769581270965352,1,px,0
eurocup-Y6POC6V1Y5E_s2352,000649,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000650,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000651,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000652,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000653,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000654,OBSERVED_VALID,detected,0,,2,,80.49848740367779,0.8577161754016401,1.8898152256064118,1,px,0
eurocup-Y6POC6V1Y5E_s2352,000655,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000656,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000657,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000658,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000659,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000600,INFERRED,inferred,,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000601,ABSENT,none,,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000602,ABSENT,none,,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000603,ABSENT,none,,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000604,ABSENT,none,,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000605,ABSENT,none,,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000606,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000607,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000608,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000609,OBSERVED_VALID,detected,0,,,motion_disagreement,50.90579967746799,-0.8512932542083094,67.75962665349782,1,px,0
