section_name,corpus,status,motion_share,motion_share_no_coast,coast_row_share,m1_rows_dropped,UNATTRIBUTED_KEPT,UNATTRIBUTED_REMOVED_TAIL,UNATTRIBUTED_SPLIT,COAST_LOST_KEPT,COAST_LOST_REMOVED_TAIL,COAST_LOST_SPLIT,BBOX_FROZEN_KEPT,BBOX_FROZEN_REMOVED_TAIL,BBOX_FROZEN_SPLIT,CLAMP_OR_SUBPIXEL_KEPT,CLAMP_OR_SUBPIXEL_REMOVED_TAIL,CLAMP_OR_SUBPIXEL_SPLIT
lnb-1CBY-LXG8VA_s6525,G358,PRESENT,0.576340,0.408907,0.218625,004623,000000,000000,000000,000000,000034,000000,000000,000002,000000,000000,000089,000000
lnb-ouDVA0vM20g_s1379,G358,PRESENT,0.029029,0.019251,0.381564,004249,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000011,000000
nbl-kRQtUZmPm0E_s363,G358,PRESENT,0.754253,0.372093,0.670739,000765,000000,000000,000000,000000,000112,000000,000000,000000,000000,000000,000015,000000
nbl-kRQtUZmPm0E_s90,G358,PRESENT,0.048414,0.032634,0.708435,002352,000000,000000,000000,000000,000016,000000,000000,000000,000000,000000,000000,000000
ncaaw-lFZWLVzvCEs_s2232,G358,PRESENT,0.391304,0.183417,0.555556,002889,000000,000000,000000,000000,000089,000000,000000,000011,000000,000000,000039,000000
ncaaw-lFZWLVzvCEs_s4374,G358,PRESENT,0.239572,0.199492,0.379461,002688,000000,000000,000000,000000,000012,000000,000000,000004,000000,000000,000027,000000
ncaaw-lFZWLVzvCEs_s90,G358,PRESENT,0.561562,0.497497,0.126277,002922,000000,000000,000000,000000,000036,000000,000000,000000,000000,000000,000175,000000
tDpmV777-IQ_s5262,G358,PRESENT,0.838202,0.782927,0.218302,002031,000000,000000,000000,000000,000028,000000,000000,000000,000000,000000,000083,000000
wHs1OssEcAw_s1183,G358,PRESENT,0.900609,0.847599,0.223522,002003,000000,000000,000000,000000,000040,000000,000000,000004,000000,000000,000094,000000
wHs1OssEcAw_s3369,G358,PRESENT,0.048096,0.036932,0.673742,001595,000000,000000,000000,000000,000011,000000,000000,000000,000000,000000,000002,000000
wHs1OssEcAw_s5555,G358,PRESENT,0.386189,0.308036,0.663814,000596,000000,000000,000000,000000,000041,000000,000000,000001,000000,000000,000008,000000
