state_id,game_id,state_ts,stratum,check,verdict,reason
000040,401810126,2025-11-23T01:27:06+00:00,p1_m4_9_c60_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000040,401810126,2025-11-23T01:27:06+00:00,p1_m4_9_c60_300,duplicate,ACCEPTED,unique_game_id_state_ts
000040,401810126,2025-11-23T01:27:06+00:00,p1_m4_9_c60_300,settlement,ACCEPTED,final_tick_after_state
000041,401810353,2026-01-04T23:29:08+00:00,p1_m4_9_c60_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000041,401810353,2026-01-04T23:29:08+00:00,p1_m4_9_c60_300,status,ACCEPTED,active_s309_mask
000041,401810353,2026-01-04T23:29:08+00:00,p1_m4_9_c60_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000041,401810353,2026-01-04T23:29:08+00:00,p1_m4_9_c60_300,duplicate,ACCEPTED,unique_game_id_state_ts
000041,401810353,2026-01-04T23:29:08+00:00,p1_m4_9_c60_300,settlement,ACCEPTED,final_tick_after_state
000042,401810909,2026-03-25T23:56:31+00:00,p1_m4_9_c60_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000042,401810909,2026-03-25T23:56:31+00:00,p1_m4_9_c60_300,status,ACCEPTED,active_s309_mask
000042,401810909,2026-03-25T23:56:31+00:00,p1_m4_9_c60_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000042,401810909,2026-03-25T23:56:31+00:00,p1_m4_9_c60_300,duplicate,ACCEPTED,unique_game_id_state_ts
000042,401810909,2026-03-25T23:56:31+00:00,p1_m4_9_c60_300,settlement,ACCEPTED,final_tick_after_state
000043,401812716,2025-10-14T23:34:04+00:00,p1_m4_9_c60_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000043,401812716,2025-10-14T23:34:04+00:00,p1_m4_9_c60_300,status,ACCEPTED,active_s309_mask
000043,401812716,2025-10-14T23:34:04+00:00,p1_m4_9_c60_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000043,401812716,2025-10-14T23:34:04+00:00,p1_m4_9_c60_300,duplicate,ACCEPTED,unique_game_id_state_ts
000043,401812716,2025-10-14T23:34:04+00:00,p1_m4_9_c60_300,settlement,ACCEPTED,final_tick_after_state
000044,401812731,2025-10-17T23:38:05+00:00,p1_m4_9_c60_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000044,401812731,2025-10-17T23:38:05+00:00,p1_m4_9_c60_300,status,ACCEPTED,active_s309_mask
000044,401812731,2025-10-17T23:38:05+00:00,p1_m4_9_c60_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000044,401812731,2025-10-17T23:38:05+00:00,p1_m4_9_c60_300,duplicate,ACCEPTED,unique_game_id_state_ts
000044,401812731,2025-10-17T23:38:05+00:00,p1_m4_9_c60_300,settlement,ACCEPTED,final_tick_after_state
