geometry,sigma_px,draw,seed,baseline_gap_px,a_gap_px,b_gap_px,a_improvement_px,b_improvement_px,n_supports,n_kept,rounds_run,n_fev,status
G1_SYNTH_QUAD,1.00,3,1975450157,1.446157,0.984095,1.169969,0.462063,0.276188,546,546,3,9,ok
G1_SYNTH_QUAD,1.00,4,1232022606,1.681972,0.981997,1.097925,0.699975,0.584047,548,548,3,11,ok
G1_SYNTH_QUAD,1.00,5,4082290542,1.000999,0.836370,0.894027,0.164629,0.106972,546,546,3,9,ok
G1_SYNTH_QUAD,1.00,6,602310482,0.447052,0.467934,0.459734,-0.020882,-0.012682,546,546,2,6,ok
G1_SYNTH_QUAD,1.00,7,1590647506,1.576599,0.915173,1.106302,0.661426,0.470297,547,547,2,8,ok
G1_SYNTH_QUAD,1.00,8,523310205,0.905151,0.786699,0.823104,0.118452,0.082047,546,546,2,8,ok
G1_SYNTH_QUAD,1.00,9,1417776265,1.130744,1.165767,1.154883,-0.035023,-0.024140,547,547,2,6,ok
G1_SYNTH_QUAD,1.00,10,2428520166,1.514705,0.986446,1.148212,0.528259,0.366493,548,548,3,12,ok
G1_SYNTH_QUAD,1.00,11,2827393987,0.793048,1.035389,0.962379,-0.242341,-0.169331,546,546,3,10,ok
G1_SYNTH_QUAD,1.00,12,1960458978,1.715075,0.752162,1.051788,0.962913,0.663287,548,548,3,14,ok
G1_SYNTH_QUAD,1.00,13,3572402408,1.359962,1.096956,1.156822,0.263005,0.203140,548,548,2,8,ok
G1_SYNTH_QUAD,1.00,14,860167615,0.799560,0.737810,0.706315,0.061750,0.093245,548,548,2,7,ok
G1_SYNTH_QUAD,1.00,15,1269304464,0.785822,0.741944,0.760603,0.043877,0.025218,546,546,2,6,ok
G1_SYNTH_QUAD,1.00,16,2257780807,0.799359,0.578330,0.628989,0.221029,0.170370,548,548,3,12,ok
G1_SYNTH_QUAD,1.00,17,4067283262,0.936931,0.827996,0.733853,0.108935,0.203078,546,546,3,11,ok
G1_SYNTH_QUAD,1.00,18,4149811785,1.758608,1.269180,1.480445,0.489428,0.278163,547,547,2,9,ok
G1_SYNTH_QUAD,1.00,19,315665583,1.406527,1.267366,1.349571,0.139161,0.056956,545,545,2,7,ok
G1_SYNTH_QUAD,1.00,20,3061533346,0.502935,0.463309,0.448427,0.039626,0.054508,547,547,2,7,ok
G1_SYNTH_QUAD,1.00,21,3857673633,1.472594,1.017767,1.017604,0.454827,0.454990,548,548,3,13,ok
G1_SYNTH_QUAD,1.00,22,2570681297,1.331452,0.871466,0.933285,0.459986,0.398167,547,547,3,12,ok
G1_SYNTH_QUAD,1.00,23,22481633,1.596202,1.078377,1.192466,0.517825,0.403737,548,548,3,14,ok
G1_SYNTH_QUAD,1.00,24,958808086,1.013296,1.040273,1.027807,-0.026977,-0.014511,548,548,2,6,ok
G1_SYNTH_QUAD,1.00,25,3791363110,0.934661,0.905216,0.913971,0.029445,0.020690,547,547,2,6,ok
G1_SYNTH_QUAD,1.00,26,3488140112,1.410003,0.878565,1.020602,0.531438,0.389401,548,548,2,8,ok
G1_SYNTH_QUAD,1.00,27,3417286296,1.271330,0.690608,0.698198,0.580722,0.573132,547,547,3,11,ok
G1_SYNTH_QUAD,1.00,28,2256059137,0.401033,0.457614,0.426115,-0.056582,-0.025082,547,547,2,6,ok
G1_SYNTH_QUAD,1.00,29,1756330319,1.488960,0.848866,1.082272,0.640094,0.406688,547,547,3,14,ok
G1_SYNTH_QUAD,1.00,30,4057177544,1.088915,0.962863,0.990044,0.126051,0.098871,546,546,2,6,ok
G1_SYNTH_QUAD,1.00,31,1636661449,1.061325,0.578661,0.653282,0.482664,0.408043,547,547,3,14,ok
G1_SYNTH_QUAD,1.00,32,759241342,1.199542,1.151299,1.170377,0.048243,0.029166,547,547,2,8,ok
G1_SYNTH_QUAD,1.00,33,2705725601,0.367370,0.253442,0.256832,0.113928,0.110538,546,546,2,6,ok
G1_SYNTH_QUAD,1.00,34,3393083752,1.418095,1.119362,1.222085,0.298734,0.196010,546,546,2,7,ok
G1_SYNTH_QUAD,1.00,35,772625228,0.768979,0.781115,0.672961,-0.012136,0.096018,546,546,3,11,ok
G1_SYNTH_QUAD,1.00,36,2651042744,1.152442,0.925090,0.969061,0.227351,0.183380,547,547,3,10,ok
G1_SYNTH_QUAD,1.00,37,3201242320,0.846781,0.434236,0.523140,0.412545,0.323641,547,547,2,9,ok
G1_SYNTH_QUAD,1.00,38,2195185743,1.344131,0.950797,1.036314,0.393335,0.307817,546,546,2,8,ok
G1_SYNTH_QUAD,1.00,39,1361431209,1.239621,0.915498,1.002192,0.324123,0.237429,546,546,2,7,ok
G2_WIDE,0.00,0,1867698828,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,1,380858395,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,2,1375912902,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,3,4185903544,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,4,1546377591,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,5,3473600774,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,6,135567626,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,7,2457803887,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,8,48813330,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,9,3985492558,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,10,3348490268,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,11,3837632032,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,12,1530213892,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,13,3964659148,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,14,1097895134,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,15,3428498465,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,16,3955248394,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,17,442444593,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,18,1666794651,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,19,156671027,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,20,2233433175,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,21,2405663226,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,22,1858773406,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,23,4113180443,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,24,3896848119,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,25,2604065597,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,26,2593913832,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,27,3758363002,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,28,3334014531,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,29,975291082,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,30,395225188,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,31,324467343,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,32,2293394006,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,33,2521388086,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,34,3363838891,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,35,1622286911,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,36,269686187,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,37,2440665403,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,38,639502128,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.00,39,2066175620,0.000000,0.000000,0.000000,0.000000,0.000000,568,568,1,2,ok
G2_WIDE,0.25,0,548648554,0.249425,0.108332,0.136184,0.141094,0.113242,568,568,2,7,ok
G2_WIDE,0.25,1,4228608133,0.206041,0.166897,0.173429,0.039144,0.032611,568,568,2,6,ok
G2_WIDE,0.25,2,3004929594,0.253067,0.197617,0.208175,0.055450,0.044892,568,568,2,7,ok
G2_WIDE,0.25,3,3602224844,0.204504,0.144478,0.147441,0.060026,0.057062,567,567,2,7,ok
G2_WIDE,0.25,4,25554861,0.371693,0.391303,0.386215,-0.019610,-0.014521,567,567,2,6,ok
G2_WIDE,0.25,5,2813577291,0.214290,0.210446,0.208080,0.003844,0.006209,568,568,2,7,ok
G2_WIDE,0.25,6,393507600,0.191961,0.175563,0.174924,0.016399,0.017038,568,568,2,7,ok
G2_WIDE,0.25,7,1789458124,0.553343,0.283653,0.290975,0.269690,0.262368,567,567,2,7,ok
G2_WIDE,0.25,8,3423460930,0.113197,0.117879,0.114720,-0.004682,-0.001523,567,567,2,6,ok
G2_WIDE,0.25,9,1974085002,0.233993,0.149326,0.159100,0.084667,0.074893,568,568,2,6,ok
G2_WIDE,0.25,10,3503885739,0.299752,0.266512,0.268102,0.033240,0.031650,567,567,3,9,ok
G2_WIDE,0.25,11,368523146,0.162836,0.156531,0.152674,0.006305,0.010162,567,567,2,8,ok
G2_WIDE,0.25,12,900166258,0.239841,0.195833,0.205271,0.044008,0.034570,568,568,2,7,ok
G2_WIDE,0.25,13,1418402629,0.417136,0.186814,0.222696,0.230322,0.194440,568,568,2,8,ok
G2_WIDE,0.25,14,3270045463,0.186854,0.156295,0.154246,0.030559,0.032608,567,567,2,8,ok
G2_WIDE,0.25,15,1009213902,0.263868,0.221835,0.231776,0.042033,0.032092,567,567,2,6,ok
