frame,evaluated,status,calibration_provenance,emitted_player_rows,camera_lock_id,fresh_solve_count,drift_residual_px,drift_evidence_count
448,True,calibration_unavailable,unavailable,0,127,0,,0
449,True,calibration_unavailable,unavailable,0,127,0,,0
450,True,calibration_unavailable,unavailable,0,127,0,,0
451,True,calibration_unavailable,unavailable,0,127,0,,0
452,True,calibration_unavailable,unavailable,0,127,0,,0
453,True,calibration_unavailable,unavailable,0,128,0,,0
454,True,emitted_players,solved,2,128,1,0.0,4
455,True,emitted_players,solved,2,128,2,0.0,4
456,True,emitted_players,solved,2,128,3,1.2144975662231445,4
457,True,calibration_unavailable,unavailable,0,129,0,,0
458,True,calibration_unavailable,unavailable,0,130,0,,0
459,True,calibration_unavailable,unavailable,0,130,0,,0
460,True,calibration_unavailable,unavailable,0,130,0,,0
461,True,calibration_unavailable,unavailable,0,131,0,,0
462,True,calibration_unavailable,unavailable,0,131,0,,0
463,True,calibration_unavailable,unavailable,0,132,0,,0
464,True,calibration_unavailable,unavailable,0,133,0,,0
465,True,calibration_unavailable,unavailable,0,134,0,,0
466,True,calibration_unavailable,unavailable,0,134,0,,0
467,True,calibration_unavailable,unavailable,0,135,0,,0
468,True,calibration_unavailable,unavailable,0,136,0,,0
469,True,calibration_unavailable,unavailable,0,137,0,,0
470,True,calibration_unavailable,unavailable,0,137,0,,0
471,True,calibration_unavailable,unavailable,0,137,0,,0
472,True,emitted_players,solved,2,138,1,0.0,4
473,True,emitted_players,solved,2,138,2,0.0,4
474,True,emitted_players,solved,2,138,3,1.771115779876709,4
475,True,emitted_players,solved,2,138,4,1.506575345993042,4
476,True,emitted_players,solved,2,138,5,2.2309696674346924,4
477,True,emitted_players,solved,2,138,6,1.9448095560073853,4
478,True,emitted_players,solved,2,138,7,2.6545774936676025,4
479,True,emitted_players,solved,2,138,8,2.6019277572631836,4
480,True,emitted_players,solved,2,138,9,1.7508476972579956,4
481,True,emitted_players,solved,2,138,10,1.8961987495422363,4
482,True,emitted_players,solved,2,138,11,1.2312426567077637,4
483,True,emitted_players,solved,2,138,12,0.7885421514511108,4
