section_id,set,frame,tick_class,sub_reason
1zPhldjbJnU_s1196,SEALED34,1077,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1080,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1083,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1086,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1089,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1092,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1095,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1098,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1101,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1104,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1107,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1110,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1113,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1116,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1119,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1122,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1125,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1128,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1131,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1134,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1137,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1140,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1143,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1146,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1149,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1152,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1155,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1158,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1161,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1164,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1167,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1170,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1173,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1176,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1179,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1182,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1185,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1188,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1191,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1194,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1197,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1200,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1203,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1206,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1209,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1212,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1215,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1218,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1221,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1224,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1227,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1230,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1233,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1236,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1239,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1242,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1245,OBSERVED,
