game_id,eligible,table_readable,video_id_parsed,run_start_known
0022500575_s3300,0,1,0,1
0022500575_s3900,0,1,0,1
0022500575_s4500,0,0,0,1
0022500575_s5400,0,1,0,1
0022500575_s6000,0,1,0,1
0022500575_s6600,0,1,0,1
0022500575_s7200,0,1,0,1
0022500575_s8100,0,1,0,1
0022500575_s8700,0,1,0,1
0022500575_s900,0,1,0,1
0022500575_s9300,0,0,0,1
0022500592_s1500,0,1,0,1
0022500592_s2100,0,1,0,1
0022500592_s2700,0,0,0,1
0022500592_s300,0,0,0,1
0022500592_s3300,0,1,0,1
0022500592_s3900,0,1,0,1
0022500592_s4500,0,0,0,1
0022500592_s5400,0,1,0,1
0022500592_s6000,0,1,0,1
0022500592_s6600,0,1,0,1
0022500592_s7200,0,1,0,1
0022500592_s8100,0,1,0,1
0022500592_s8700,0,1,0,1
0022500592_s900,0,1,0,1
0022500592_s9300,0,0,0,1
0022500594_s1500,0,1,0,1
0022500594_s2100,0,1,0,1
0022500594_s2700,0,1,0,1
0022500594_s300,0,1,0,1
0022500594_s3300,0,1,0,1
0022500594_s3900,0,1,0,1
0022500594_s4500,0,0,0,1
0022500594_s5400,0,1,0,1
0022500594_s6000,0,1,0,1
0022500594_s6600,0,1,0,1
0022500594_s7200,0,1,0,1
0022500594_s8100,0,1,0,1
0022500594_s8700,0,1,0,1
0022500594_s900,0,1,0,1
0022500594_s9300,0,1,0,1
0022500594_s9900,0,1,0,1
0022500621_s1500,0,1,0,1
0022500621_s2100,0,0,0,1
0022500621_s2700,0,1,0,1
0022500621_s300,0,1,0,1
0022500621_s3300,0,1,0,1
0022500621_s3900,0,1,0,1
0022500621_s4500,0,1,0,1
0022500621_s5400,0,1,0,1
0022500621_s6000,0,0,0,1
0022500621_s6600,0,1,0,1
0022500621_s7200,0,0,0,1
0022500621_s8100,0,1,0,1
0022500621_s900,0,1,0,1
0022500630_s1500,0,1,0,1
0022500630_s2100,0,1,0,1
0022500630_s2700,0,1,0,1
0022500630_s300,0,1,0,1
0022500630_s3300,0,1,0,1
0022500630_s3900,0,1,0,1
0022500630_s4500,0,1,0,1
0022500630_s5400,0,1,0,1
0022500630_s6000,0,1,0,1
0022500630_s6600,0,1,0,1
0KIBu1jQBL8_s1205,1,1,1,1
0KIBu1jQBL8_s2320,1,1,1,1
0KIBu1jQBL8_s3435,1,1,1,1
0KIBu1jQBL8_s4550,1,1,1,1
0KIBu1jQBL8_s5665,1,1,1,1
0KIBu1jQBL8_s90,1,1,1,1
0SQ709_N0Yg_s1325,1,1,1,1
0SQ709_N0Yg_s2560,1,1,1,1
0SQ709_N0Yg_s3795,1,1,1,1
0SQ709_N0Yg_s5030,1,1,1,1
0SQ709_N0Yg_s90,1,1,1,1
1E5Rw89keTg_s312,1,1,1,1
1E5Rw89keTg_s534,1,1,1,1
1E5Rw89keTg_s90,1,1,1,1
1zPhldjbJnU_s1196,1,1,1,1
1zPhldjbJnU_s2302,1,1,1,1
1zPhldjbJnU_s3408,1,1,1,1
1zPhldjbJnU_s4514,1,1,1,1
1zPhldjbJnU_s5620,1,1,1,1
1zPhldjbJnU_s90,1,1,1,1
3eeaJz1PJTM_s1331,1,1,1,1
3eeaJz1PJTM_s2572,1,1,1,1
3eeaJz1PJTM_s3813,1,1,1,1
3eeaJz1PJTM_s5054,1,1,1,1
3eeaJz1PJTM_s6295,1,1,1,1
3eeaJz1PJTM_s90,1,1,1,1
3fT6aYz2N9w_s1339,1,1,1,1
3fT6aYz2N9w_s2000,1,1,1,1
3fT6aYz2N9w_s2588,1,1,1,1
3fT6aYz2N9w_s3500,1,1,1,1
3fT6aYz2N9w_s3837,0,0,1,1
3fT6aYz2N9w_s5086,1,1,1,1
3fT6aYz2N9w_s6335,0,0,1,1
3fT6aYz2N9w_s90,1,1,1,1
4PH6yOSvcs4_s1511,0,0,1,1
4PH6yOSvcs4_s2932,0,0,1,1
4PH6yOSvcs4_s90,1,1,1,1
50pp-OqYVok_s1420,0,0,1,1
50pp-OqYVok_s1500,1,1,1,1
50pp-OqYVok_s2750,1,1,1,1
50pp-OqYVok_s4080,1,1,1,1
50pp-OqYVok_s5410,1,1,1,1
50pp-OqYVok_s6740,0,0,1,1
50pp-OqYVok_s90,1,1,1,1
5PNHcMafoX8_s1436,1,1,1,1
5PNHcMafoX8_s2782,1,1,1,1
5PNHcMafoX8_s4128,1,1,1,1
5PNHcMafoX8_s5474,1,1,1,1
5PNHcMafoX8_s6820,1,1,1,1
5PNHcMafoX8_s90,1,1,1,1
5TiTjV1JPW8_s401,1,1,1,1
5TiTjV1JPW8_s60,1,1,1,1
5TiTjV1JPW8_s742,1,1,1,1
5U9k1U6nN-g_s1207,1,1,1,1
5U9k1U6nN-g_s2324,1,1,1,1
5U9k1U6nN-g_s3441,1,1,1,1
5U9k1U6nN-g_s4558,1,1,1,1
5U9k1U6nN-g_s90,1,1,1,1
6FlZaoWSfFw_s337,1,1,1,1
6FlZaoWSfFw_s584,1,1,1,1
6FlZaoWSfFw_s90,1,1,1,1
6cNq5d_NOXs_s416,1,1,1,1
