frame,state,raw_rows,unique_players,emitting,section_id
1824,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1827,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1830,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1833,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1836,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1839,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1842,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1845,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1848,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1851,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1854,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1857,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1860,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1863,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1866,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1869,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1872,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1875,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1878,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
