audit_id,rank,x_px,y_px,nearest_target_distance_px,on_any_target
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,26,1188,963,211.3031,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,27,1658,963,132.412235,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,28,1605,977,174.315805,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,29,1431,1001,187.040103,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,30,1453,977,176.963273,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,31,1331,1001,171.417619,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,32,415,978,949.448787,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,33,1648,977,149.48244,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,34,1154,963,238.799079,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,35,1645,995,166.811271,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,36,1147,973,250.19992,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,37,685,963,680.917029,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,38,1696,977,133.180329,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,39,1712,977,131.244047,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,40,1583,977,189.552104,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,41,650,973,717.19802,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,42,1169,983,238.662942,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,43,1554,977,211.463945,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,44,1444,1001,192.823754,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,45,363,955,997.735436,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,46,1665,991,155.080624,False
