ordinal,file_name,sport,stratum,stratum_start_fraction,stratum_end_fraction,frame_count,source_frame,fps,width,height,decode_status,render_path
40,npb__npb_HQfhD5Iwm7U.mp4,npb,1,0.1,0.35,28816,3395,29.97002997,640,360,decoded,renders/npb/npb__npb_HQfhD5Iwm7U__s1_f003395.jpg
40,npb__npb_HQfhD5Iwm7U.mp4,npb,2,0.35,0.65,28816,11708,29.97002997,640,360,decoded,renders/npb/npb__npb_HQfhD5Iwm7U__s2_f011708.jpg
40,npb__npb_HQfhD5Iwm7U.mp4,npb,3,0.65,0.9,28816,19928,29.97002997,640,360,decoded,renders/npb/npb__npb_HQfhD5Iwm7U__s3_f019928.jpg
41,npb__npb_V3FrwLVwCpA.mp4,npb,1,0.1,0.35,28816,8082,30.00000000,640,360,decoded,renders/npb/npb__npb_V3FrwLVwCpA__s1_f008082.jpg
41,npb__npb_V3FrwLVwCpA.mp4,npb,2,0.35,0.65,28816,16846,30.00000000,640,360,decoded,renders/npb/npb__npb_V3FrwLVwCpA__s2_f016846.jpg
41,npb__npb_V3FrwLVwCpA.mp4,npb,3,0.65,0.9,28816,23945,30.00000000,640,360,decoded,renders/npb/npb__npb_V3FrwLVwCpA__s3_f023945.jpg
42,npb__npb_cHZcTsFreJY.mp4,npb,1,0.1,0.35,28928,8681,29.97002997,1920,1080,decoded,renders/npb/npb__npb_cHZcTsFreJY__s1_f008681.jpg
42,npb__npb_cHZcTsFreJY.mp4,npb,2,0.35,0.65,28928,11601,29.97002997,1920,1080,decoded,renders/npb/npb__npb_cHZcTsFreJY__s2_f011601.jpg
42,npb__npb_cHZcTsFreJY.mp4,npb,3,0.65,0.9,28928,19380,29.97002997,1920,1080,decoded,renders/npb/npb__npb_cHZcTsFreJY__s3_f019380.jpg
43,npb__npb_jm2Ocr-LAtc.mp4,npb,1,0.1,0.35,28865,9853,30.00000000,640,360,decoded,renders/npb/npb__npb_jm2Ocr-LAtc__s1_f009853.jpg
43,npb__npb_jm2Ocr-LAtc.mp4,npb,2,0.35,0.65,28865,15618,30.00000000,640,360,decoded,renders/npb/npb__npb_jm2Ocr-LAtc__s2_f015618.jpg
43,npb__npb_jm2Ocr-LAtc.mp4,npb,3,0.65,0.9,28865,22873,30.00000000,640,360,decoded,renders/npb/npb__npb_jm2Ocr-LAtc__s3_f022873.jpg
44,npb__npb_kqPv-_WwWLk.mp4,npb,1,0.1,0.35,28863,6723,29.97002997,640,360,decoded,renders/npb/npb__npb_kqPv-_WwWLk__s1_f006723.jpg
44,npb__npb_kqPv-_WwWLk.mp4,npb,2,0.35,0.65,28863,18044,29.97002997,640,360,decoded,renders/npb/npb__npb_kqPv-_WwWLk__s2_f018044.jpg
44,npb__npb_kqPv-_WwWLk.mp4,npb,3,0.65,0.9,28863,19701,29.97002997,640,360,decoded,renders/npb/npb__npb_kqPv-_WwWLk__s3_f019701.jpg
45,npb__npb_ul7Kq_Km7eA.mp4,npb,1,0.1,0.35,28807,3237,29.97002997,1280,720,decoded,renders/npb/npb__npb_ul7Kq_Km7eA__s1_f003237.jpg
45,npb__npb_ul7Kq_Km7eA.mp4,npb,2,0.35,0.65,28807,15241,29.97002997,1280,720,decoded,renders/npb/npb__npb_ul7Kq_Km7eA__s2_f015241.jpg
45,npb__npb_ul7Kq_Km7eA.mp4,npb,3,0.65,0.9,28807,22075,29.97002997,1280,720,decoded,renders/npb/npb__npb_ul7Kq_Km7eA__s3_f022075.jpg
46,soccer__football_34GmmlakBYU.mp4,soccer,1,0.1,0.35,28810,5142,29.95400000,640,360,decoded,renders/soccer/soccer__football_34GmmlakBYU__s1_f005142.jpg
