geometry,sigma_px,draw,probe_index,err_m,err_modulo_m
G3_TIGHT,0.00,0,93,0.021377,0.021377
G3_TIGHT,0.00,0,94,0.021822,0.021822
G3_TIGHT,0.00,0,95,0.025299,0.025299
G3_TIGHT,0.00,0,96,0.031189,0.031189
G3_TIGHT,0.00,0,97,0.038731,0.038731
G3_TIGHT,0.00,0,98,0.047428,0.047428
G3_TIGHT,0.00,0,99,0.040815,0.040815
G3_TIGHT,0.00,0,100,0.034100,0.034100
G3_TIGHT,0.00,0,101,0.027207,0.027207
G3_TIGHT,0.00,0,102,0.020477,0.020477
G3_TIGHT,0.00,0,103,0.014930,0.014930
G3_TIGHT,0.00,0,104,0.013235,0.013235
G3_TIGHT,0.00,0,105,0.017370,0.017370
G3_TIGHT,0.00,0,106,0.025096,0.025096
G3_TIGHT,0.00,0,107,0.034467,0.034467
G3_TIGHT,0.00,0,108,0.044791,0.044791
G3_TIGHT,0.00,0,109,0.055822,0.055822
G3_TIGHT,0.00,0,110,0.040147,0.040147
G3_TIGHT,0.00,0,111,0.031609,0.031609
G3_TIGHT,0.00,0,112,0.022605,0.022605
G3_TIGHT,0.00,0,113,0.013150,0.013150
G3_TIGHT,0.00,0,114,0.003477,0.003477
G3_TIGHT,0.00,0,115,0.007547,0.007547
G3_TIGHT,0.00,0,116,0.018371,0.018371
G3_TIGHT,0.00,0,117,0.029752,0.029752
G3_TIGHT,0.00,0,118,0.041626,0.041626
G3_TIGHT,0.00,0,119,0.053989,0.053989
G3_TIGHT,0.00,0,120,0.066835,0.066835
G3_TIGHT,0.00,0,121,0.042992,0.042992
G3_TIGHT,0.00,0,122,0.033680,0.033680
G3_TIGHT,0.00,0,123,0.024453,0.024453
G3_TIGHT,0.00,0,124,0.016397,0.016397
G3_TIGHT,0.00,0,125,0.013359,0.013359
G3_TIGHT,0.00,0,126,0.018961,0.018961
G3_TIGHT,0.00,0,127,0.029093,0.029093
G3_TIGHT,0.00,0,128,0.040924,0.040924
G3_TIGHT,0.00,0,129,0.053681,0.053681
G3_TIGHT,0.00,0,130,0.067126,0.067126
G3_TIGHT,0.00,0,131,0.081161,0.081161
G3_TIGHT,0.00,0,132,0.051700,0.051700
G3_TIGHT,0.00,0,133,0.043269,0.043269
G3_TIGHT,0.00,0,134,0.036203,0.036203
G3_TIGHT,0.00,0,135,0.031974,0.031974
G3_TIGHT,0.00,0,136,0.032296,0.032296
G3_TIGHT,0.00,0,137,0.037546,0.037546
G3_TIGHT,0.00,0,138,0.046485,0.046485
G3_TIGHT,0.00,0,139,0.057762,0.057762
G3_TIGHT,0.00,0,140,0.070554,0.070554
G3_TIGHT,0.00,0,141,0.084427,0.084427
G3_TIGHT,0.00,0,142,0.099150,0.099150
G3_TIGHT,0.00,0,143,0.066728,0.066728
G3_TIGHT,0.00,0,144,0.059878,0.059878
G3_TIGHT,0.00,0,145,0.055025,0.055025
G3_TIGHT,0.00,0,146,0.053084,0.053084
G3_TIGHT,0.00,0,147,0.054734,0.054734
G3_TIGHT,0.00,0,148,0.060025,0.060025
G3_TIGHT,0.00,0,149,0.068424,0.068424
G3_TIGHT,0.00,0,150,0.079228,0.079228
G3_TIGHT,0.00,0,151,0.091836,0.091836
G3_TIGHT,0.00,0,152,0.105826,0.105826
G3_TIGHT,0.00,0,153,0.120918,0.120918
G3_TIGHT,0.00,0,154,0.087311,0.087311
G3_TIGHT,0.00,0,155,0.081946,0.081946
G3_TIGHT,0.00,0,156,0.078714,0.078714
G3_TIGHT,0.00,0,157,0.078152,0.078152
G3_TIGHT,0.00,0,158,0.080593,0.080593
