geometry,sigma_px,draw,symmetry_class,objective_j,source_element,enumeration_rank,candidate_hypotheses_count,deduplicated_symmetry_images_count
G1_SYNTH_QUAD,1.00,18,0,0.601246282682946,identity,3,104472,8847
G1_SYNTH_QUAD,1.00,18,0,0.601246282682946,mirror_x,4,104472,8847
G1_SYNTH_QUAD,1.00,18,0,0.6009669088239047,identity,8,104472,8847
G1_SYNTH_QUAD,1.00,18,0,0.5996995475423995,mirror_x,6,104472,8847
G1_SYNTH_QUAD,1.00,21,0,0.6945811516076477,mirror_x,7,114928,7306
G1_SYNTH_QUAD,1.00,21,0,0.6913743522298995,identity,8,114928,7306
G1_SYNTH_QUAD,1.00,21,1,0.6486673786412531,mirror_x,1,114928,7306
G1_SYNTH_QUAD,1.00,21,1,0.6486070335809909,identity,2,114928,7306
G1_SYNTH_QUAD,1.00,21,1,0.6453475568761777,mirror_x,4,114928,7306
G1_SYNTH_QUAD,1.00,21,1,0.6452344578115186,identity,3,114928,7306
G1_SYNTH_QUAD,1.00,21,1,0.6430841187136856,mirror_x,5,114928,7306
G1_SYNTH_QUAD,1.00,21,1,0.642797345492109,identity,6,114928,7306
G1_SYNTH_QUAD,1.00,24,0,0.7927969160990499,identity,1,112128,7182
G1_SYNTH_QUAD,1.00,24,0,0.7927969160990499,identity,3,112128,7182
G1_SYNTH_QUAD,1.00,24,0,0.7927969160990499,mirror_x,4,112128,7182
G1_SYNTH_QUAD,1.00,24,0,0.7927969160990499,identity,8,112128,7182
G1_SYNTH_QUAD,1.00,24,0,0.7925175039013427,identity,6,112128,7182
G1_SYNTH_QUAD,1.00,24,0,0.7925175039013427,mirror_x,7,112128,7182
G1_SYNTH_QUAD,1.00,24,0,0.7900049410872723,mirror_x,2,112128,7182
G1_SYNTH_QUAD,1.00,24,0,0.7900049410872723,identity,5,112128,7182
G1_SYNTH_QUAD,1.00,27,0,0.6729940289828047,identity,1,111624,2571
G1_SYNTH_QUAD,1.00,27,0,0.6729940289828047,mirror_x,2,111624,2571
G1_SYNTH_QUAD,1.00,27,0,0.6729940289828047,mirror_x,5,111624,2571
G1_SYNTH_QUAD,1.00,27,0,0.6729940289828047,identity,7,111624,2571
G1_SYNTH_QUAD,1.00,27,0,0.6729940289828047,mirror_x,8,111624,2571
G1_SYNTH_QUAD,1.00,27,0,0.6710551659665515,identity,3,111624,2571
G1_SYNTH_QUAD,1.00,27,0,0.6710551659665515,mirror_x,4,111624,2571
G1_SYNTH_QUAD,1.00,27,0,0.6710551659665515,identity,6,111624,2571
G2_WIDE,0.25,0,0,0.8314745725698807,mirror_x,1,105884,8671
G2_WIDE,0.25,0,0,0.8314745725698807,identity,3,105884,8671
G2_WIDE,0.25,0,0,0.8314745725698807,mirror_x,4,105884,8671
G2_WIDE,0.25,0,0,0.8314745725698807,mirror_x,7,105884,8671
G2_WIDE,0.25,0,0,0.8310746236063128,identity,8,105884,8671
G2_WIDE,0.25,0,0,0.8310671092277795,identity,2,105884,8671
G2_WIDE,0.25,0,0,0.8310671092277795,identity,5,105884,8671
G2_WIDE,0.25,0,0,0.8310671092277795,identity,6,105884,8671
G2_WIDE,0.25,3,0,0.7876355348519943,identity,2,106352,11452
G2_WIDE,0.25,3,0,0.7868356369248587,mirror_x,3,106352,11452
G2_WIDE,0.25,3,0,0.7858093875137406,identity,7,106352,11452
G2_WIDE,0.25,3,0,0.7858093875137406,identity,8,106352,11452
G2_WIDE,0.25,3,0,0.7853565311911118,mirror_x,6,106352,11452
G2_WIDE,0.25,3,0,0.7836362752483119,identity,1,106352,11452
G2_WIDE,0.25,3,0,0.7836362752483119,identity,5,106352,11452
G2_WIDE,0.25,3,0,0.7819837253896436,mirror_x,4,106352,11452
