sport,cluster_id,captured_at,source_ts,lag_seconds,source_file
mlb,822708,2026-07-12T18:45:29Z,20260712_184432,57.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:46:15Z,20260712_184452,83.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:46:42Z,20260712_184559,43.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:47:28Z,20260712_184717,11.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:47:56Z,20260712_184717,39.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:48:42Z,20260712_184717,85.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:49:09Z,20260712_184717,112.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:49:55Z,20260712_184910,45.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:50:22Z,20260712_184944,38.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:51:08Z,20260712_185050,18.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:51:35Z,20260712_185050,45.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:52:21Z,20260712_185125,56.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:52:48Z,20260712_185225,23.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:53:33Z,20260712_185244,49.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:54:01Z,20260712_185321,40.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:54:46Z,20260712_185408,38.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:55:13Z,20260712_185408,65.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:55:59Z,20260712_185514,45.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:56:32Z,20260712_185514,78.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:57:18Z,20260712_185514,124.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:57:46Z,20260712_185514,152.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:58:30Z,20260712_185748,42.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:58:58Z,20260712_185836,22.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:59:42Z,20260712_185847,55.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T19:00:10Z,20260712_185925,45.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T19:00:56Z,20260712_190018,38.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T19:01:24Z,20260712_190036,48.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T19:02:14Z,20260712_190202,12.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T19:02:41Z,20260712_190202,39.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T19:03:37Z,20260712_190238,59.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T19:04:03Z,20260712_190311,52.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T19:05:06Z,20260712_190420,46.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T19:05:33Z,20260712_190500,33.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T19:06:37Z,20260712_190545,52.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
