stable_key,game_id,player_id,date,split_id,fold_status,baseline_minutes_crps,baseline_dnp_brier,baseline_dnp_logloss,baseline_pinball_q10,baseline_pinball_q50,baseline_pinball_q90,baseline_inside80,candidate_minutes_crps,candidate_dnp_brier,candidate_dnp_logloss,candidate_pinball_q10,candidate_pinball_q50,candidate_pinball_q90,candidate_inside80
0022300065|1628404,0022300065,1628404,2023-10-25,0,SCORED,22.0,1.0,27.631021115928547,2.2,11.0,19.8,0.0,22.0,1.0,27.631021115928547,2.2,11.0,19.8,0.0
0022300065|1628436,0022300065,1628436,2023-10-25,0,SCORED,8.0,1.0,27.631021115928547,0.8,4.0,7.2,0.0,8.0,1.0,27.631021115928547,0.8,4.0,7.2,0.0
0022300065|1628973,0022300065,1628973,2023-10-25,0,SCORED,33.0,1.0,27.631021115928547,3.3000000000000003,16.5,29.7,0.0,33.0,1.0,27.631021115928547,3.3000000000000003,16.5,29.7,0.0
0022300065|1628978,0022300065,1628978,2023-10-25,0,SCORED,15.0,1.0,27.631021115928547,1.5,7.5,13.5,0.0,15.0,1.0,27.631021115928547,1.5,7.5,13.5,0.0
0022300065|1629011,0022300065,1629011,2023-10-25,0,SCORED,22.0,1.0,27.631021115928547,2.2,11.0,19.8,0.0,22.0,1.0,27.631021115928547,2.2,11.0,19.8,0.0
0022300065|1629628,0022300065,1629628,2023-10-25,0,SCORED,36.0,1.0,27.631021115928547,3.6,18.0,32.4,0.0,36.0,1.0,27.631021115928547,3.6,18.0,32.4,0.0
0022300065|1629656,0022300065,1629656,2023-10-25,0,SCORED,23.0,1.0,27.631021115928547,2.3000000000000003,11.5,20.7,0.0,23.0,1.0,27.631021115928547,2.3000000000000003,11.5,20.7,0.0
0022300065|1630193,0022300065,1630193,2023-10-25,0,SCORED,28.0,1.0,27.631021115928547,2.8000000000000003,14.0,25.2,0.0,28.0,1.0,27.631021115928547,2.8000000000000003,14.0,25.2,0.0
0022300065|1630202,0022300065,1630202,2023-10-25,0,SCORED,11.0,1.0,27.631021115928547,1.1,5.5,9.9,0.0,11.0,1.0,27.631021115928547,1.1,5.5,9.9,0.0
0022300065|1630573,0022300065,1630573,2023-10-25,0,SCORED,14.0,1.0,27.631021115928547,1.4000000000000001,7.0,12.6,0.0,14.0,1.0,27.631021115928547,1.4000000000000001,7.0,12.6,0.0
0022300066|-4278588,0022300066,-4278588,2023-10-25,0,SCORED,6.0,1.0,27.631021115928547,0.6000000000000001,3.0,5.4,0.0,6.0,1.0,27.631021115928547,0.6000000000000001,3.0,5.4,0.0
0022300066|-2528779,0022300066,-2528779,2023-10-25,0,SCORED,11.0,1.0,27.631021115928547,1.1,5.5,9.9,0.0,11.0,1.0,27.631021115928547,1.1,5.5,9.9,0.0
0022300066|201145,0022300066,201145,2023-10-25,0,SCORED,14.0,1.0,27.631021115928547,1.4000000000000001,7.0,12.6,0.0,14.0,1.0,27.631021115928547,1.4000000000000001,7.0,12.6,0.0
0022300066|203914,0022300066,203914,2023-10-25,0,SCORED,17.0,1.0,27.631021115928547,1.7000000000000002,8.5,15.3,0.0,17.0,1.0,27.631021115928547,1.7000000000000002,8.5,15.3,0.0
0022300066|204060,0022300066,204060,2023-10-25,0,SCORED,18.0,1.0,27.631021115928547,1.8,9.0,16.2,0.0,18.0,1.0,27.631021115928547,1.8,9.0,16.2,0.0
0022300066|1627832,0022300066,1627832,2023-10-25,0,SCORED,34.0,1.0,27.631021115928547,3.4000000000000004,17.0,30.6,0.0,34.0,1.0,27.631021115928547,3.4000000000000004,17.0,30.6,0.0
0022300066|1628365,0022300066,1628365,2023-10-25,0,SCORED,25.0,1.0,27.631021115928547,2.5,12.5,22.5,0.0,25.0,1.0,27.631021115928547,2.5,12.5,22.5,0.0
0022300066|1628371,0022300066,1628371,2023-10-25,0,SCORED,14.0,1.0,27.631021115928547,1.4000000000000001,7.0,12.6,0.0,14.0,1.0,27.631021115928547,1.4000000000000001,7.0,12.6,0.0
0022300066|1628415,0022300066,1628415,2023-10-25,0,SCORED,26.0,1.0,27.631021115928547,2.6,13.0,23.400000000000002,0.0,26.0,1.0,27.631021115928547,2.6,13.0,23.400000000000002,0.0
0022300066|1628976,0022300066,1628976,2023-10-25,0,SCORED,27.0,1.0,27.631021115928547,2.7,13.5,24.3,0.0,27.0,1.0,27.631021115928547,2.7,13.5,24.3,0.0
0022300066|1628988,0022300066,1628988,2023-10-25,0,SCORED,5.0,1.0,27.631021115928547,0.5,2.5,4.5,0.0,5.0,1.0,27.631021115928547,0.5,2.5,4.5,0.0
0022300066|1629021,0022300066,1629021,2023-10-25,0,SCORED,15.0,1.0,27.631021115928547,1.5,7.5,13.5,0.0,15.0,1.0,27.631021115928547,1.5,7.5,13.5,0.0
0022300066|1629048,0022300066,1629048,2023-10-25,0,SCORED,5.0,1.0,27.631021115928547,0.5,2.5,4.5,0.0,5.0,1.0,27.631021115928547,0.5,2.5,4.5,0.0
0022300066|1629111,0022300066,1629111,2023-10-25,0,SCORED,9.0,1.0,27.631021115928547,0.9,4.5,8.1,0.0,9.0,1.0,27.631021115928547,0.9,4.5,8.1,0.0
0022300066|1629643,0022300066,1629643,2023-10-25,0,SCORED,5.0,1.0,27.631021115928547,0.5,2.5,4.5,0.0,5.0,1.0,27.631021115928547,0.5,2.5,4.5,0.0
0022300066|1630175,0022300066,1630175,2023-10-25,0,SCORED,24.0,1.0,27.631021115928547,2.4000000000000004,12.0,21.6,0.0,24.0,1.0,27.631021115928547,2.4000000000000004,12.0,21.6,0.0
0022300066|1630224,0022300066,1630224,2023-10-25,0,SCORED,30.0,1.0,27.631021115928547,3.0,15.0,27.0,0.0,30.0,1.0,27.631021115928547,3.0,15.0,27.0,0.0
0022300066|1630256,0022300066,1630256,2023-10-25,0,SCORED,15.0,1.0,27.631021115928547,1.5,7.5,13.5,0.0,15.0,1.0,27.631021115928547,1.5,7.5,13.5,0.0
0022300066|1630532,0022300066,1630532,2023-10-25,0,SCORED,27.0,1.0,27.631021115928547,2.7,13.5,24.3,0.0,27.0,1.0,27.631021115928547,2.7,13.5,24.3,0.0
