event_id,reason
0022500749,null_price
0022500750,null_price
0022500751,null_price
0022500752,null_price
0022500753,null_price
0022500754,null_price
0022500755,null_price
0022500756,null_price
0022500757,null_price
0022500758,null_price
0022500759,null_price
0022500760,null_price
0022500761,null_price
0022500762,null_price
0022500763,null_price
0022500764,null_price
0022500765,null_price
0022500766,null_price
0022500767,null_price
0022500768,null_price
0022500769,null_price
0022500770,null_price
0022500771,null_price
0022500772,null_price
0022500773,null_price
0022500774,null_price
0022500802,null_price
0022500805,null_price
0022500808,inplay_close_source
0022500809,inplay_close_source
0022500810,inplay_close_source
0022500811,inplay_close_source
0022500812,inplay_close_source
0022500813,null_price
0022500814,inplay_close_source
0022500815,null_price
0022500816,inplay_close_source
0022500817,inplay_close_source
0022500818,null_price
0022500819,null_price
0022500820,null_price
0022500821,null_price
0022500822,inplay_close_source
0022500823,inplay_close_source
0022500824,inplay_close_source
0022500825,null_price
0022500826,null_price
0022500827,inplay_close_source
0022500828,null_price
0022500829,null_price
0022500830,inplay_close_source
0022500848,null_price
0022500849,null_price
0022500851,null_price
0022500852,null_price
0022500853,null_price
0022500854,null_price
0022500855,null_price
0022500856,null_price
0022500857,null_price
0022500858,null_price
0022500859,null_price
0022500860,null_price
0022500861,null_price
0022500862,null_price
0022500863,null_price
0022500864,null_price
0022500865,null_price
0022500866,null_price
0022500867,null_price
0022500868,null_price
0022500869,null_price
0022500870,null_price
0022500871,null_price
0022500872,null_price
0022500873,null_price
0022500874,null_price
0022500875,null_price
0022500876,null_price
0022500877,null_price
0022500878,null_price
0022500879,null_price
0022500880,null_price
0022500881,null_price
0022500882,null_price
0022500883,null_price
0022500884,null_price
0022500885,null_price
0022500886,null_price
0022500887,null_price
0022500888,null_price
0022500889,null_price
0022500890,null_price
